project,cve,cwe,hash
memcached/memcached,CVE-2010-1152,707,32f382b605b4565bddfae5c9d082af3bfd30cf02
php/php-src,CVE-2016-3132,"710,664",f0168baecfb27e104e46fe914e5b5b6507ba8214
armmbed/mbedtls,CVE-2017-18187,682,48f7a5d724ade2cd0ef1fe5c0fd357bdd213f54b
armmbed/mbedtls,CVE-2018-9989,664,d4a56ec6bf9bb0e7c7f3179aa7fa6ea0b99aa9ed
armmbed/mbedtls,CVE-2018-9989,664,59b9fe28f0cbad04e3af4257b50656b69b7aa613
armmbed/mbedtls,CVE-2018-9988,664,efebb0a394d1ac44a86519a06122f41234d70278
armmbed/mbedtls,CVE-2018-9988,664,4bd1284f590c5e26e78615af08d03ac6d8ea6494
armmbed/mbedtls,CVE-2018-9988,664,29e1f12f6b1f2de0c5444b1e28523efdfea5ac96
armmbed/mbedtls,CVE-2017-14032,284,d15795acd5074e0b44e71f7ede8bdfe1b48591fc
armmbed/mbedtls,CVE-2017-14032,284,fdbdd72b8b7f072414876ec63aec9900fcd47784
armmbed/mbedtls,CVE-2017-14032,284,9dbaf400efd241d9505f599a90dafccd6e82aecb
armmbed/mbedtls,CVE-2017-14032,284,e546ad4afdbcc4f2f1dea97c85f9d82ba7a99138
armmbed/mbedtls,CVE-2017-14032,284,2cf5a7c98eff6796f5bf4a474c48312b52e7b339
armmbed/mbedtls,CVE-2017-14032,284,a83e4e2bf5fbb8607b292b6a880c050e3429decf
armmbed/mbedtls,CVE-2017-14032,284,915275ba78309dd0dccbda1c0035b840050ba8a1
andrerenaud/pdfgen,CVE-2018-11363,664,92ffc40a0bf6e98d6d50dee879b3ed13c379b8be
artifexsoftware/jbig2dec,CVE-2020-12268,664,c3134491a3010fcce440a45968407c6511766671
artifexsoftware/jbig2dec,CVE-2020-12268,664,37a6758bad72796bfa2422fdb951608850b994c9
danbloomberg/leptonica,CVE-2018-7247,664,9711e6e846f7e6778a7ed56fc7324a8303836497
danbloomberg/leptonica,CVE-2018-7186,664,cef50b2cb3a8be397d81d4d32388a3918374e1b5
danbloomberg/leptonica,CVE-2018-7186,664,316b85bbabfbb1072a9e3b38794c732aa940af4d
danbloomberg/leptonica,CVE-2018-7186,664,a9adf23592525a7cf77d23a62ffafc7ae5677aaf
danbloomberg/leptonica,CVE-2018-7186,664,468256adb82ba8e3abc76444eccdc96855b31a1f
freeradius/pam_radius,CVE-2015-9542,664,c2c2b9c4b0571f4e6050de78ae8fd813d1be7431
gns3/ubridge,CVE-2020-14976,664,8e1f1f59cd21b07542d488cc6b0c33c7e88c1be3
imagemagick/imagemagick,CVE-2016-7522,664,b41f080d52a5ff2d9c235cffac1419b84028bd31
imagemagick/imagemagick,CVE-2016-4564,664,9cdadd93510445e657e40e7877f2d85279683049
imagemagick/imagemagick,CVE-2016-4564,664,8bedb4edca01599dfd0612cb0daa35b09c67d736
